operator_count,score,generation,,,
3,0.747794715,12,,,
1,0.587998749,12,,,
2,0.863625704,12,,,
3,0.866160882,12,,,
2,0.765760632,12,,,
1,0.501780019,12,,,
1,0.741517355,12,,,
1,0.55834975,12,,,
2,0.769895247,12,,,
1,0.590132114,12,,,
3,0.796225766,12,,,
4,0.938708568,12,,,
1,0.587998749,12,,,
2,0.687990932,12,,,
2,0.760925578,12,,,
1,0.777492964,12,,,
1,0.493424015,12,,,
4,0.821441526,12,,,
1,0.48139853,12,,,
2,0.797784553,12,,,
1,0.725227486,12,,,
2,0.747514071,12,,,
2,0.753672608,12,,,
1,0.522125547,12,,,
2,0.818869606,12,,,
3,0.847393684,12,,,
1,0.489683396,12,,,
3,0.679844434,12,,,
2,0.634122108,12,,,
1,0.765209506,12,,,
2,0.814611476,12,,,
2,0.529512977,12,,,
1,0.691345372,12,,,
2,0.779928862,12,,,
3,0.863782833,13,,,
3,0.809611476,13,,,
2,0.513604597,13,,,
2,0.640543308,13,,,
1,0.687725922,13,,,
2,0.689319106,13,,,
3,0.889881957,13,,,
1,0.520811445,13,,,
3,0.817938555,13,,,
1,0.765209506,13,,,
2,0.735573796,13,,,
2,0.771081144,13,,,
2,0.742831457,13,,,
2,0.847221701,13,,,
1,0.508505316,13,,,
2,0.801864447,13,,,
2,0.609101001,13,,,
2,0.551356316,13,,,
2,0.781550969,13,,,
3,0.801337555,13,,,
2,0.512568011,13,,,
3,0.838999375,13,,,
3,0.809611476,13,,,
1,0.608676517,13,,,
1,0.65766182,13,,,
3,0.458181676,13,,,
4,0.831937148,13,,,
2,0.839920263,13,,,
2,0.839034553,13,,,
2,0.805861476,13,,,
1,0.520811445,13,,,
2,0.877476548,13,,,
2,0.609101001,13,,,
1,0.761149937,13,,,
1,0.498412289,13,,,
2,0.726486867,13,,,
1,0.514372264,13,,,
2,0.763797686,13,,,
4,0.586235929,13,,,
3,0.857412445,13,,,
2,0.689558318,14,,,
3,0.862564884,14,,,
1,0.757294403,14,,,
1,0.714015791,14,,,
2,0.795182145,14,,,
1,0.536258599,14,,,
2,0.790270482,14,,,
1,0.577793934,14,,,
3,0.7597303,14,,,
1,0.514717792,14,,,
2,0.603803158,14,,,
4,0.707889306,14,,,
1,0.502718105,14,,,
2,0.790087555,14,,,
2,0.771885553,14,,,
3,0.584889775,14,,,
1,0.498059725,14,,,
1,0.707217792,14,,,
2,0.773681989,14,,,
3,0.566104597,14,,,
3,0.758219981,14,,,
2,0.800055503,14,,,
1,0.745198562,14,,,
3,0.813933709,14,,,
3,0.867412445,14,,,
3,0.929888211,14,,,
2,0.780590994,14,,,
1,0.469936679,14,,,
3,0.843909475,14,,,
1,0.51503596,14,,,
1,0.745198562,14,,,
2,0.702224828,14,,,
4,0.839856942,14,,,
1,0.517003596,14,,,
2,0.541135084,14,,,
1,0.498778143,14,,,
2,0.707545341,14,,,
1,0.622469512,14,,,
2,0.778267667,14,,,
2,0.762267042,14,,,
1,0.554703721,15,,,
2,0.886168699,15,,,
2,0.552986241,15,,,
2,0.548473265,15,,,
2,0.745204816,15,,,
1,0.5156293,15,,,
2,0.543593652,15,,,
2,0.591712008,15,,,
3,0.761090525,15,,,
2,0.776456379,15,,,
2,0.662528924,15,,,
2,0.845907598,15,,,
2,0.640028924,15,,,
4,0.938708568,15,,,
1,0.6076798,15,,,
2,0.798617886,15,,,
2,0.662381176,15,,,
1,0.448829737,15,,,
2,0.76014853,15,,,
4,0.825157911,15,,,
3,0.922580519,15,,,
2,0.683628049,15,,,
1,0.692547686,15,,,
2,0.857412445,15,,,
2,0.841121013,15,,,
1,0.510866948,15,,,
3,0.897890088,15,,,
1,0.780020325,15,,,
3,0.862442933,15,,,
3,0.490223577,15,,,
1,0.503558474,15,,,
3,0.828291901,15,,,
2,0.672611007,15,,,
3,0.833678862,15,,,
1,0.637463258,15,,,
1,0.779913227,15,,,
2,0.705368981,15,,,
5,0.931239056,15,,,
5,#NAME?,15,,,
1,0.529452001,15,,,
4,0.938708568,16,,,
2,0.638440432,16,,,
3,0.827163852,16,,,
1,0.83248671,16,,,
1,0.66243277,16,,,
2,0.751036585,16,,,
2,0.751036585,16,,,
1,0.527131801,16,,,
1,0.521772983,16,,,
2,0.767668074,16,,,
2,0.507210757,16,,,
2,0.860938086,16,,,
1,0.533598343,16,,,
2,0.776212477,16,,,
3,0.859885084,16,,,
3,0.857281113,16,,,
2,0.727541432,16,,,
2,0.782305347,16,,,
1,0.485159475,16,,,
2,0.77086773,16,,,
4,0.781135866,16,,,
3,0.746610381,16,,,
2,0.809901501,16,,,
2,0.558563164,16,,,
2,0.877505472,16,,,
1,0.493590525,16,,,
2,0.743951689,16,,,
2,0.558563164,16,,,
4,0.82409162,16,,,
4,0.634682614,16,,,
2,0.509315197,16,,,
3,0.514282364,16,,,
2,0.863720294,16,,,
2,0.786364916,16,,,
2,0.765826298,16,,,
1,0.758651501,16,,,
3,0.802404628,16,,,
1,0.636208568,16,,,
4,0.879974984,16,,,
1,0.501282833,16,,,
1,0.752295966,17,,,
1,0.572946373,17,,,
2,0.877226391,17,,,
4,0.881231238,17,,,
2,0.851661194,17,,,
1,0.656998124,17,,,
3,0.892696216,17,,,
2,0.760026579,17,,,
4,0.913644465,17,,,
3,0.723253596,17,,,
1,0.519561445,17,,,
2,0.667222483,17,,,
1,0.761149937,17,,,
2,0.517593027,17,,,
4,0.872324109,17,,,
2,0.778302064,17,,,
1,0.762210757,17,,,
1,0.756357098,17,,,
2,0.521125704,17,,,
5,0.938708568,17,,,
2,0.518317699,17,,,
1,0.507123984,17,,,
1,0.497777517,17,,,
1,0.831633834,17,,,
3,0.928888368,17,,,
2,0.929957004,17,,,
1,0.481429018,17,,,
3,0.785239994,17,,,
1,0.524430113,17,,,
2,0.810834115,17,,,
1,0.541066291,17,,,
3,0.89885788,17,,,
2,0.778704659,17,,,
3,0.719058005,17,,,
4,0.89501329,17,,,
4,0.852507036,17,,,
3,0.511844903,17,,,
1,0.740140713,17,,,
2,0.874848343,17,,,
1,0.692725922,17,,,
3,0.525160256,18,,,
4,0.810861476,18,,,
1,0.547168543,18,,,
2,0.496715134,18,,,
