pipeline,cv_score,generation,holdout_score,holdout_roc_auc_score
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,16,0.7110939907550078,0.7869542886492039
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,16,0.7001540832049307,0.7978428351309708
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,17,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,17,0.7208012326656394,0.7887005649717513
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,17,0.7029789419619927,0.8017462763225476
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,18,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,18,0.7110939907550078,0.7899332306111967
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,18,0.7029789419619927,0.799075500770416
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,19,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,19,0.7145351823317925,0.786748844375963
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,19,0.7001540832049307,0.7978428351309708
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,20,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,20,0.7208012326656394,0.790446841294299
"MultinomialNB(MinMaxScaler(RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=1.0, RandomForestClassifier__min_samples_leaf=17, RandomForestClassifier__min_samples_split=14, RandomForestClassifier__n_estimators=100)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8068304507337526,20,0.7029789419619927,0.7975346687211093
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,21,0.7104776579352851,0.7993836671802774
"MultinomialNB(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.05, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.45), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8055974842767295,21,0.7258346173600412,0.792809450436569
